,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,我们,社区,现在,他们,省长,农民,这样,工作,领导,希望,这些,社保,房子,什么,情况,您好,书记,县政府,劳动,可以
1,土地,政府,乐平市,失地农民,情况,就业,没有,生活,保障,征用,基本,问题,街道办,失去,造成,建设,完全,现有人口,本村,手机
2,谭火秀,武宁县,现场,大队,调查,公安局,交通事故,亲戚,肇事者,交警大队,道路,事故,重新,回复,成立,信访,受害人,进行,老人,交管
3,没有,现在,书记,公路,反映,这个,希望,爸爸,国家,生活,本人,政策,还是,您好,因为,可以,问题,什么,有关,当时
4,法院,永新县,江西,人员,被告,办案,前往,变卖,没有,依法,冻结,西安,投资,设备,财产,公司,我们,为了,判决,当时
5,部门,以上,主任科员,公务员,工商,没有,单位,工作,质检,食品药品,实职,食品,市场,岗位津贴,津贴,职务,得到,特殊,职数,程度
6,知青,回乡,工龄,插队知青,文化大革命,政策,待遇,同时,规定,工作,期间,家庭,农村,受到,招生,高等学校,造成,问题,由于,改革
7,该厂,环保局,局长,领导,居民,生产,污染,老板,开始,养鱼,这样,县政府,他们,鄱阳县,受理,人工湖,政府,群众,今年,污水
8,拆迁,补偿,房屋,群众,门面,安置,我们,要求,拆迁户,棚户区,改造,面积,标准,吉安市,意见,政府,城市,没有,得到,评估
9,江西,今视网,稿费,本人,可是,评论,评论员,苏荣,作者,投稿,每篇,应该,约稿,时间,计算,其它,反映,编辑,网络,新闻媒体
10,学校,学生,教师,老师,这样,小学,家长,校长,问题,工作,教育,还是,不是,农村,县城,辍学,这些,什么,对于,领导
11,领导,陶瓷,评审,工艺美术,大师,评定,江西省,公正,结果,公平,社会,评委,行业,这些,我们,没有,专家,名单,知道,发展
12,房子,上交,需求,房屋,房价,收益,年内,刚性,套房,财政,中国,只有,差价,个人,投资,购买,也就是说,出售者,因为,装修
13,农村,校车,幼儿园,问题,地区,政府,孩子,民办,以上,普遍,接送,不能,广大,解决,村庄,现有,部分,公交,这样,困难
14,干部,领导,法律,考核,可以,他们,考试,行为,进行,知识,同时,可能,驾校,工作,自己,考驾照,是不是,影响,单位,这样
15,职工,市局,工资,领导,企业,反映,不能,解决,单位,制证,我们,南昌市,困难,人事处,转岗,公安局,每月,人员,公司,待遇
16,宋体,交警大队,现场,武宁县,他们,重新,认定,交通事故,事故,本人,亲戚,肇事者,领导,调查,现场图,交通警察,投诉,县公安局,认定书,不但
17,村民,农民,人民政府,书记,农田,大布乡,村里,他们,耕地,补偿款,反映,您好,村干部,村委会,省长,强行,土地,任何,我村,相关
18,居民,小区,房管局,反映,规划,严重,建设,省长,区内,问题,业主,时代,婺源县,豪苑,中兴,管理,解决,周边,不能,得到
19,发展,交通,井冈山,科技,工程,南昌,乡镇,解决,问题,世界,政府,婚姻登记,井冈山市,江西,新城区,道路,拥堵,我市,人口,还有
